title,price,discount,link,image
"Mika Standing Cooker, 50cm x 60cm, 3 Gas Burners + 1 Hot Plate, Button Ignition,Electric Oven","KSh 27,999",59%,https://www.jumia.co.ke/mika-standing-cooker-50cm-x-60cm-3-gas-burners-1-hot-plate-button-ignitionelectric-oven-275341341.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
Premier PM530E All Gas Cooker With Stand Shelf,"KSh 7,999",29%,https://www.jumia.co.ke/premier-pm530e-all-gas-cooker-with-stand-shelf-156094297.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"Eurochef Two Gas Burners , Gas Table Top Cooker -Gas Efficient","KSh 2,489",50%,https://www.jumia.co.ke/eurochef-two-gas-burners-gas-table-top-cooker-gas-efficient-178037840.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
Electric Portable Single Spiral Coil Hotplate,KSh 970,46%,https://www.jumia.co.ke/generic-electric-portable-single-spiral-coil-hotplate-266783812.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"Nunix Table Top Stainless Steel 2 Burner Gas Cooker Plus 13kg Regulator, tightener, And Pipe","KSh 3,799",37%,https://www.jumia.co.ke/nunix-table-top-stainless-steel-2-burner-gas-cooker-plus-13kg-regulator-tightener-and-pipe-262246360.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
Hr Strong Non Leak Meko Gas Burner+Pocket Umbrella,"KSh 1,040",13%,https://www.jumia.co.ke/hr-strong-non-leak-meko-gas-burnerpocket-umbrella-115594939.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
AILYONS Classy 2 Burner Glass Table Top,"KSh 2,900",17%,https://www.jumia.co.ke/ailyons-classy-2-burner-glass-table-top-174969800.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"Nunix 50CM X 55CM Cooker, 4 Gas Burners, Gas Oven+1 YEAR WARRANTY","KSh 20,699",48%,https://www.jumia.co.ke/nunix-50cm-x-55cm-cooker-4-gas-burners-gas-oven1-year-warranty-275342333.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"VOLSMART 60*60, 3 Gas Jet Pool Burners + 1 Rapid Plate Cooker +Electric Oven","KSh 25,990",52%,https://www.jumia.co.ke/volsmart-6060-3-gas-jet-pool-burners-1-rapid-plate-cooker-electric-oven-286571257.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
Nunix 20L Electric Rotisserie Oven,"KSh 5,999",40%,https://www.jumia.co.ke/nunix-20l-electric-rotisserie-oven-84847598.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"Sarah 60 x 60, 3 Gas Pool Jet Burners + 1 Hot Plate, Free Standing Cooker + Electric Oven","KSh 28,799",18%,https://www.jumia.co.ke/sarah-60-x-60-3-gas-pool-jet-burners-1-hot-plate-free-standing-cooker-electric-oven-263491823.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
TC 14 Pieces Aluminium Cooking Pot Sufuria Set,"KSh 5,750",22%,https://www.jumia.co.ke/tc-14-pieces-aluminium-cooking-pot-sufuria-set-89595634.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"Sarah 60*60, 3 Gas Jet Burners + 1 Rapid Plate Free Standing Gas Cooker with Electric Oven","KSh 28,799",18%,https://www.jumia.co.ke/sarah-6060-3-gas-jet-burners-1-rapid-plate-free-standing-gas-cooker-with-electric-oven-288960364.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"Mika 50*60, 3 Gas Jet Burners + 1 Rapid Hot Plate, Electric Oven, Rotisserie, Button Ignition Standing Gas Cooker","KSh 29,999",25%,https://www.jumia.co.ke/mika-5060-3-gas-jet-burners-1-rapid-hot-plate-electric-oven-rotisserie-button-ignition-standing-gas-cooker-290777345.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
